classifier,TP,TN,FP,FN
kNN,0.1782477341389728,0.5347432024169184,0.13897280966767372,0.14803625377643503
C1,0.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0
