classifier,TP,TN,FP,FN
kNN,0.23564954682779457,0.5045317220543807,0.1691842900302115,0.09063444108761329
C1,0.0,0.0,0.0,0.0
C2,0.0,0.0,0.0,0.0
C3,0.0,0.0,0.0,0.0
